desc	n
leucyl-tRNA aminoacylation	348582
transcription antitermination	336358
purine nucleobase biosynthetic process	327658
threonyl-tRNA aminoacylation	323227
protein secretion	321424
rRNA processing	321268
tRNA wobble uridine modification	320996
coenzyme A biosynthetic process	320063
glutathione metabolic process	312181
DNA-templated transcription, initiation	311811
'de novo' CTP biosynthetic process	308701
ribosome biogenesis	305798
mismatch repair	305445
SRP-dependent cotranslational protein targeting to membrane	305341
nitrogen compound metabolic process	302395
tryptophan biosynthetic process	299621
carotenoid biosynthetic process	297977
cell redox homeostasis	297460
glycyl-tRNA aminoacylation	293651
polysaccharide catabolic process	293526
acetyl-CoA biosynthetic process from acetate	292722
isoprenoid biosynthetic process	285057
pyruvate metabolic process	279553
chromosome condensation	279414
FtsZ-dependent cytokinesis	279378
sister chromatid cohesion	277832
thiamine diphosphate biosynthetic process	275385
ubiquinone biosynthetic process	275331
peptide transport	275121
guanosine tetraphosphate metabolic process	273381
L-proline biosynthetic process	272792
nitrogen fixation	271125
glycine catabolic process	269147
response to oxidative stress	268428
carbon fixation	268171
glycine decarboxylation via glycine cleavage system	265649
glyoxylate cycle	264631
arginyl-tRNA aminoacylation	263435
respiratory electron transport chain	259951
division septum assembly	259648
aspartyl-tRNA aminoacylation	252182
carboxylic acid metabolic process	251130
pseudouridine synthesis	249223
response to heat	246486
Mo-molybdopterin cofactor biosynthetic process	246408
carbohydrate derivative biosynthetic process	245741
DNA unwinding involved in DNA replication	240042
lysyl-tRNA aminoacylation	235495
lipid biosynthetic process	234240
arginine biosynthetic process via ornithine	229158
potassium ion transport	227248
photosynthetic electron transport in photosystem II	226858
1-deoxy-D-xylulose 5-phosphate biosynthetic process	223502
positive regulation of translation	221362
cell morphogenesis	220921
pantothenate biosynthetic process	217443
cellular response to heat	215807
transcription-coupled nucleotide-excision repair, DNA damage recognition	215751
protein quality control for misfolded or incompletely synthesized proteins	215343
DNA integration	213378
pentose-phosphate shunt	213241
methionyl-tRNA aminoacylation	212928
malate metabolic process	210177
tRNA threonylcarbamoyladenosine modification	209271
response to antibiotic	207854
glycine biosynthetic process from serine	207642
regulation of DNA replication	206529
cysteine biosynthetic process from serine	205886
prolyl-tRNA aminoacylation	205039
cellular metabolic process	201750
inositol phosphate dephosphorylation	201060
DNA replication initiation	199495
glutamyl-tRNA aminoacylation	196931
tetrahydrofolate biosynthetic process	196898
S-adenosylmethionine biosynthetic process	195736
chromosome segregation	195209
fumarate metabolic process	194721
protein lipoylation	194491
lipoprotein biosynthetic process	190013
polysaccharide biosynthetic process	183287
electron transport chain	182606
oxidative phosphorylation	182538
cysteinyl-tRNA aminoacylation	181989
menaquinone biosynthetic process	179100
fatty acid beta-oxidation	178084
electron transport coupled proton transport	176212
intracellular signal transduction	172442
heme biosynthetic process	172419
cyclic nucleotide biosynthetic process	170905
histidyl-tRNA aminoacylation	168528
bacterial-type flagellum-dependent cell motility	163130
purine nucleotide biosynthetic process	162535
glucose metabolic process	160408
pteridine-containing compound metabolic process	160012
carbohydrate transport	145512
protein polymerization	144910
ribosomal large subunit assembly	143153
tyrosyl-tRNA aminoacylation	142947
DNA biosynthetic process	142102
rRNA base methylation	139875
L-serine biosynthetic process	139525
Gram-negative-bacterium-type cell outer membrane assembly	138176
photosynthesis, light reaction	132115
dTMP biosynthetic process	121139
hydrogen peroxide catabolic process	117582
cysteine metabolic process	112849
spermidine biosynthetic process	111069
seryl-tRNA aminoacylation	110478
oxaloacetate metabolic process	109778
deoxyribonucleotide biosynthetic process	109522
glycogen biosynthetic process	104710
protein unfolding	102272
nucleotide biosynthetic process	99295
phosphate ion transport	97203
pyridoxine biosynthetic process	94541
cellular protein modification process	81556
homophilic cell adhesion via plasma membrane adhesion molecules	79638
fatty acid metabolic process	76745
light-independent chlorophyll biosynthetic process	75100
dTTP biosynthetic process	74712
glycerol metabolic process	73855
proton motive force-driven plasma membrane ATP synthesis	71429
ribosomal small subunit biogenesis	60509
nucleotide metabolic process	58979
photosynthetic electron transport chain	58757
negative regulation of transcription, DNA-templated	56024
protein glycosylation	55666
tRNA pseudouridine synthesis	49721
tryptophanyl-tRNA aminoacylation	47296
purine ribonucleoside salvage	46150
transposition, DNA-mediated	41377
formate metabolic process	40320
histidine catabolic process to glutamate and formamide	37434
removal of superoxide radicals	37398
histidine catabolic process to glutamate and formate	37366
aerobic electron transport chain	31557
cell adhesion	30504
selenocysteinyl-tRNA(Sec) biosynthetic process	30249
pyrimidine nucleotide biosynthetic process	29405
antibiotic biosynthetic process	28577
biotin biosynthetic process	20394
phylloquinone biosynthetic process	18430
heme O biosynthetic process	12151
microtubule-based movement	11791
RNA catabolic process	9068
cellular amino acid catabolic process	9001
chemotaxis	8520
signal transduction	7937
glutathione catabolic process	7381
L-methionine salvage from methylthioadenosine	7359
viral DNA genome replication	6389
viral genome ejection through host cell envelope, contractile tail mechanism	5962
viral DNA genome packaging	5174
proline catabolic process to glutamate	5164
taurine catabolic process	5150
viral genome ejection through host cell envelope, short tail mechanism	4752
response to herbicide	4620
DNA replication, Okazaki fragment processing	3281
viral release from host cell	2939
viral genome packaging	2732
bidirectional double-stranded viral DNA replication	2504
polyphosphate biosynthetic process	2308
defense response to virus	1895
DNA restriction-modification system	1886
GDP-mannose metabolic process	1491
porphyrin-containing compound biosynthetic process	1302
viral process	1183
viral transcription	1009
peptidoglycan catabolic process	917
viral entry into host cell	733
DNA methylation	727
virion attachment to host cell	642
D-gluconate metabolic process	598
replication fork processing	553
cell wall macromolecule catabolic process	512
D-xylose metabolic process	496
response to UV	490
cytolysis	467
defense response to bacterium	443
phytochromobilin biosynthetic process	380
peptidyl-amino acid modification	374
asparagine biosynthetic process	363
glycerol-3-phosphate metabolic process	345
bacterial-type flagellum assembly	341
viral procapsid maturation	333
lipopolysaccharide biosynthetic process	316
phosphate ion transmembrane transport	314
carbohydrate derivative metabolic process	297
tRNA aminoacylation for protein translation	295
carbohydrate biosynthetic process	287
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	280
'de novo' GDP-L-fucose biosynthetic process	274
mRNA processing	232
dUMP biosynthetic process	224
sodium-dependent phosphate transport	224
dUTP biosynthetic process	216
intein-mediated protein splicing	199
microtubule-based process	194
intracellular protein transport	184
dimethylallyl diphosphate biosynthetic process	180
purine nucleotide metabolic process	173
GDP-mannose biosynthetic process	147
virion assembly	129
phosphate-containing compound metabolic process	124
cellular response to DNA damage stimulus	119
mannitol metabolic process	117
transcription preinitiation complex assembly	114
vesicle-mediated transport	108
cell projection organization	107
rRNA catabolic process	103
dUTP catabolic process	100
regulation of viral transcription	95
nitrogen compound transport	89
ion transport	84
glutamate catabolic process to 2-oxoglutarate	80
xenobiotic transport	75
nucleobase-containing compound metabolic process	72
pyrimidine nucleotide metabolic process	72
7-methylguanosine mRNA capping	70
regulation of nitrogen utilization	70
protein secretion by the type II secretion system	65
nitrate assimilation	59
acetyl-CoA biosynthetic process from pyruvate	52
lipoprotein transport	52
photosynthesis, dark reaction	51
'de novo' L-methionine biosynthetic process	48
DNA modification	47
tRNA-guanine transglycosylation	44
protein insertion into membrane	38
peptidoglycan metabolic process	36
establishment of integrated proviral latency	35
extracellular polysaccharide biosynthetic process	35
viral genome integration into host DNA	35
phosphoenolpyruvate-dependent sugar phosphotransferase system	33
hydrogen sulfide biosynthetic process	32
iron ion homeostasis	32
negative regulation of translational elongation	31
sulfate assimilation	31
proline biosynthetic process	29
poly-hydroxybutyrate biosynthetic process	28
propionate metabolic process, methylcitrate cycle	27
bacterial-type flagellum organization	25
RNA methylation	23
peptidoglycan turnover	22
copper ion transport	21
nucleotide catabolic process	21
metabolic process	6
protein N-linked glycosylation	6
dGTP catabolic process	5
folic acid biosynthetic process	5
L-arabinose metabolic process	5
regulation of glutamine family amino acid metabolic process	5
cellular copper ion homeostasis	4
Entner-Doudoroff pathway through 6-phosphogluconate	4
nucleotide-sugar metabolic process	4
ribonucleoside monophosphate biosynthetic process	4
selenocysteine biosynthetic process	4
tyrosine biosynthetic process	4
chitin catabolic process	3
D-gluconate catabolic process	3
dTDP-rhamnose biosynthetic process	3
FAD biosynthetic process	3
FMN biosynthetic process	3
glucose catabolic process	3
glycerol catabolic process	3
L-alanine catabolic process	3
membrane assembly	3
oligopeptide transport	3
polyamine transport	3
regulation of peptidase activity	3
UDP-glucuronate biosynthetic process	3
arginine catabolic process	2
aromatic compound catabolic process	2
double-strand break repair via homologous recombination	2
glycine betaine biosynthetic process from choline	2
GMP biosynthetic process	2
proline transport	2
protein repair	2
proteolysis	2
transposition	2
transposition, RNA-mediated	2
UDP-glucose metabolic process	2
1,6-anhydro-N-acetyl-beta-muramic acid catabolic process	1
acyl-CoA metabolic process	1
branched-chain amino acid catabolic process	1
CAAX-box protein processing	1
carbohydrate catabolic process	1
cellular phosphate ion homeostasis	1
chloride transport	1
gamma-aminobutyric acid transport	1
glutathione biosynthetic process	1
heme oxidation	1
macromolecule biosynthetic process	1
negative regulation of phosphate metabolic process	1
neutral amino acid transport	1
nicotinamide nucleotide metabolic process	1
O antigen biosynthetic process	1
phosphatidylglycerol biosynthetic process	1
phosphatidylinositol phosphate biosynthetic process	1
protein dephosphorylation	1
regulation of lipid biosynthetic process	1
rescue of stalled ribosome	1
serine transport	1
signal peptide processing	1
sphingolipid metabolic process	1
toxin metabolic process	1
viral tail assembly	1
