desc	n
oxaloacetate metabolic process	217952
glutamyl-tRNA aminoacylation	216074
malate metabolic process	211616
deoxyribonucleotide biosynthetic process	210549
Mo-molybdopterin cofactor biosynthetic process	205149
histidyl-tRNA aminoacylation	203131
cysteinyl-tRNA aminoacylation	202671
electron transport chain	197139
pyridoxine biosynthetic process	193423
Gram-negative-bacterium-type cell outer membrane assembly	187773
bacterial-type flagellum-dependent cell motility	181357
menaquinone biosynthetic process	180425
tyrosyl-tRNA aminoacylation	175994
cyclic nucleotide biosynthetic process	167629
intracellular signal transduction	167150
phosphate ion transport	161553
dTMP biosynthetic process	152751
photosynthesis, light reaction	151929
fatty acid beta-oxidation	151139
pteridine-containing compound metabolic process	149721
glycogen biosynthetic process	149410
protein polymerization	144751
purine nucleotide biosynthetic process	144637
hydrogen peroxide catabolic process	142750
nucleotide metabolic process	138690
ribosomal large subunit assembly	137759
rRNA base methylation	134063
protein unfolding	132482
cellular protein modification process	130891
light-independent chlorophyll biosynthetic process	128041
L-serine biosynthetic process	127947
seryl-tRNA aminoacylation	124960
polysaccharide biosynthetic process	124262
spermidine biosynthetic process	115791
ribosomal small subunit biogenesis	115774
nucleotide biosynthetic process	106916
dTTP biosynthetic process	106218
negative regulation of transcription, DNA-templated	101587
tryptophanyl-tRNA aminoacylation	94806
photosynthesis, dark reaction	90182
phylloquinone biosynthetic process	85552
cysteine metabolic process	85259
purine ribonucleoside salvage	77286
cellular metabolic process	72163
glycerol metabolic process	68810
L-methionine salvage from methylthioadenosine	65545
biotin biosynthetic process	65429
polysaccharide catabolic process	64677
transposition, DNA-mediated	64628
viral DNA genome replication	64049
phosphate ion transmembrane transport	58963
tRNA-guanine transglycosylation	58114
viral genome ejection through host cell envelope, contractile tail mechanism	57751
DNA biosynthetic process	50356
polyphosphate biosynthetic process	45262
porphyrin-containing compound biosynthetic process	45260
circadian rhythm	44218
acetyl-CoA biosynthetic process from pyruvate	44198
aerobic electron transport chain	42249
photosynthetic electron transport chain	42052
chemotaxis	31610
viral release from host cell	30947
homophilic cell adhesion via plasma membrane adhesion molecules	29883
response to herbicide	29403
viral genome packaging	29306
bidirectional double-stranded viral DNA replication	28023
taurine catabolic process	26318
5-phosphoribose 1-diphosphate biosynthetic process	25524
tRNA pseudouridine synthesis	25222
removal of superoxide radicals	23996
viral DNA genome packaging	22835
proton motive force-driven plasma membrane ATP synthesis	20169
formate metabolic process	19170
protein glycosylation	18812
fatty acid metabolic process	18134
viral genome ejection through host cell envelope, short tail mechanism	18060
DNA replication, Okazaki fragment processing	17427
folic acid biosynthetic process	16896
microtubule-based movement	15967
cell adhesion	15193
glutathione biosynthetic process	14160
defense response to virus	14031
bacterial-type flagellum assembly	13539
GDP-mannose metabolic process	13512
negative regulation of DNA recombination	13341
metal ion transport	13067
histidine catabolic process to glutamate and formamide	12981
sporulation resulting in formation of a cellular spore	12978
histidine catabolic process to glutamate and formate	12944
urea catabolic process	12858
RNA catabolic process	11896
D-gluconate metabolic process	11239
antibiotic biosynthetic process	9351
pyrimidine nucleotide biosynthetic process	9222
protein insertion into membrane	9213
ribonucleoside monophosphate biosynthetic process	9168
glycine betaine transport	8966
dimethylallyl diphosphate biosynthetic process	8939
DNA restriction-modification system	8827
viral transcription	6373
viral entry into host cell	5305
peptidoglycan catabolic process	5217
DNA methylation	5193
virion attachment to host cell	5049
peptidyl-amino acid modification	4863
viral process	4610
response to UV	4426
asparagine biosynthetic process	3877
D-xylose metabolic process	3331
tRNA aminoacylation for protein translation	3195
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	3173
cell wall macromolecule catabolic process	3121
mannitol metabolic process	2981
phytochromobilin biosynthetic process	2938
transcription preinitiation complex assembly	2931
replication fork processing	2928
rRNA catabolic process	2864
cytolysis	2758
carbohydrate derivative metabolic process	2740
regulation of viral transcription	2707
sodium-dependent phosphate transport	2705
defense response to bacterium	2619
dUMP biosynthetic process	2606
'de novo' GDP-L-fucose biosynthetic process	2546
mRNA processing	2497
viral procapsid maturation	2415
intein-mediated protein splicing	2405
dUTP catabolic process	2390
carbohydrate biosynthetic process	2290
microtubule-based process	2106
purine nucleotide metabolic process	2041
lipopolysaccharide biosynthetic process	1910
dUTP biosynthetic process	1905
pyrimidine nucleotide metabolic process	1864
7-methylguanosine mRNA capping	1792
AMP salvage	1436
nucleotide-sugar biosynthetic process	1404
GDP-mannose biosynthetic process	1330
UDP-N-acetylgalactosamine biosynthetic process	1164
virion assembly	1164
signal transduction	714
nitrogen compound transport	193
'de novo' L-methionine biosynthetic process	170
regulation of nitrogen utilization	169
protein secretion by the type II secretion system	166
ion transport	164
xenobiotic transport	164
glutamate catabolic process to 2-oxoglutarate	148
nucleobase-containing compound metabolic process	146
phosphoenolpyruvate-dependent sugar phosphotransferase system	143
glutathione catabolic process	136
nitrate assimilation	129
bacterial-type flagellum organization	123
peptidoglycan metabolic process	121
hydrogen sulfide biosynthetic process	116
DNA modification	106
proline biosynthetic process	106
arginine catabolic process	99
lipid catabolic process	96
proline catabolic process to glutamate	94
establishment of integrated proviral latency	93
viral genome integration into host DNA	93
sulfate assimilation	92
double-strand break repair via homologous recombination	71
glycerol-3-phosphate metabolic process	69
metabolic process	53
peptidoglycan turnover	53
poly-hydroxybutyrate biosynthetic process	40
proteolysis	39
extracellular polysaccharide biosynthetic process	37
cell communication	35
propionate metabolic process, methylcitrate cycle	33
iron ion homeostasis	32
aromatic compound catabolic process	28
branched-chain amino acid catabolic process	24
lipopolysaccharide transport	24
response to organic substance	24
membrane assembly	22
cellular copper ion homeostasis	20
DNA catabolic process	18
trehalose biosynthetic process	11
negative regulation of translational elongation	8
peptidyl-tyrosine sulfation	7
tRNA 3'-end processing	7
phosphorylation	6
xenobiotic detoxification by transmembrane export across the plasma membrane	6
lipopolysaccharide core region biosynthetic process	5
CDP-diacylglycerol biosynthetic process	4
lipoprotein transport	4
protein secretion by the type III secretion system	4
transposition	4
UDP-glucuronate biosynthetic process	4
response to reactive oxygen species	3
tRNA thio-modification	3
